sender_user_id,receiver_account,receiver_account_timestamp,receiver_quote,receiver_quote_timestamp,receiver_policy,receiver_policy_timestamp,sender_earned_amount_in_dollars,receiver_earned_amount_in_dollars
3b59d5fb-a1b2-4b8b-a9af-beb05df5958a,1,4/24/2018,0,,0,,,
9a34cd02-f382-40e2-8776-d7521055c7fa,1,5/1/2018,0,,0,,,
56e22370-4f14-40e3-b7e1-29a775573f4f,1,3/14/2018,1,3/29/2018,1,3/30/2018,50,50
9dd18c87-ba8d-45e3-8ae2-152fa9050bef,1,4/29/2018,0,,0,,,
35b6107b-8502-48a5-9b16-610e7cf3445b,1,4/18/2018,0,,0,,,
781005ca-319b-41aa-9bd4-660039207580,1,3/1/2018,0,,0,,,
2a8cafbc-c68b-40f2-aca3-c21049fac4df,1,4/30/2018,0,,0,,,
3c8b8dba-e591-40b2-b82c-71ff51cd3fe3,1,4/24/2018,0,,0,,,
b4b5f83e-8e27-454b-9028-26853a8edd8b,1,3/16/2018,0,,0,,,
f18359f0-cc62-4595-9635-e7e7fad7aee2,1,3/19/2018,1,4/9/2018,0,,25,
20d6677b-9352-4195-b9e2-7897e34c7ff1,1,3/12/2018,1,4/7/2018,0,,25,25
bf8d6a1e-81d3-4ee0-8e35-777da8468e02,1,3/21/2018,1,4/12/2018,1,4/12/2018,25,25
ee58ca49-4e59-41be-8174-6473077ed1ca,1,4/7/2018,0,,0,,,
e741a6af-0443-4df6-a535-a9b9ba152d6c,1,5/3/2018,0,,0,,,
a63e6b14-fd45-42ef-b18f-25f826c1a330,1,2/21/2018,1,3/14/2018,1,3/14/2018,50,50
b7ef7185-d08a-4e7c-a349-108ce7ed67c2,1,4/8/2018,0,,0,,,
90436e2a-031a-4722-8d18-a490695e60bc,1,5/4/2018,0,,0,,,
8117f5f4-de07-4587-a068-515b5c0489dc,1,4/11/2018,0,,0,,,
7bbf91e4-df97-4680-bd59-3b5f9bd43f7c,1,3/18/2018,0,,0,,,
89532f35-c603-4e96-b3c6-f9c739d9ef4c,1,2/11/2018,0,,0,,,
ce816218-e384-46cb-9e43-57682b0312df,1,5/3/2018,0,,0,,,
1c5fc082-6a49-4815-bfab-3272057b962b,1,3/29/2018,0,,0,,,
5831bca3-0c87-4b4f-9691-48d5a6cc22e8,1,5/5/2018,0,,0,,,
9e51ed0a-b575-4927-b0f5-b722af826141,1,4/17/2018,0,,0,,,
7d38ef00-298d-4bb6-89a9-2df021d169aa,1,4/29/2018,0,,0,,,
227d0457-cf82-4ec2-a94e-2536107444b8,1,5/5/2018,0,,0,,,
170d0260-111e-49e3-a76f-e7adba3a20b5,1,4/26/2018,0,,0,,,
a05c8843-5a54-45a7-980c-3b6d5c1cf722,1,4/24/2018,0,,0,,,
42121c4a-c144-49ca-b877-a8abad902b03,1,2/22/2018,0,,0,,,
b381b8a7-2c39-4a2c-bfe4-5ce1e9e4980e,1,4/24/2018,0,,0,,,
a475b4d3-36b6-483d-a475-97a0eaba1ce3,1,5/5/2018,0,,0,,,
2f7ab341-3c8e-4b28-ad4e-d0583dc4038e,1,3/25/2018,1,4/15/2018,0,,25,25
12c7d484-8443-4c85-8f6a-920795df60f0,1,4/29/2018,0,,0,,,
32248673-8a10-4f78-b361-9b1a66565ab8,1,4/30/2018,0,,0,,,
1946efd1-3315-4b3e-a818-c6b36854af5a,1,2/24/2018,0,,0,,,
583520a9-36e1-4cd7-b0bc-54a1f39ec89a,1,4/8/2018,0,,0,,,
c2373150-6659-4584-a1c5-d59766cefc49,1,1/23/2018,0,,0,,,
6408ee89-58f2-4cce-9205-8e6c0ad156d2,1,4/8/2018,0,,0,,,
6c7b220f-214f-48b6-911c-5ef04bf19f42,1,3/3/2018,1,3/25/2018,1,4/30/2018,25,25
812413d9-3b4a-4ae9-a74f-a4bae05b98a3,1,3/20/2018,1,4/26/2018,0,,25,25
debca169-bd65-4382-956c-c558d9039e88,1,4/6/2018,0,,0,,,
5a6e3c3f-aca2-42d8-91f0-cdcf958b7fbd,1,4/25/2018,0,,0,,,
e513ba44-7b5d-4646-85fe-64e87af8f819,1,4/16/2018,0,,0,,,
db25d426-567f-481e-afd8-0c90df388bf0,1,3/20/2018,0,,0,,,
e619a67a-5644-4243-a742-2124be623e17,1,4/10/2018,1,5/2/2018,0,,25,25
cf590f74-1817-40f2-89a8-29cac15d9dac,1,2/15/2018,1,3/1/2018,0,,25,25
53958bc0-c35f-41e8-9b15-7bff7c67c825,1,4/27/2018,0,,0,,,
c5204e72-5c00-494a-b4a6-0c21bc2dfe8b,1,3/20/2018,0,,0,,,
50f8253b-861c-4314-8e48-b6f64d1ee0d9,1,4/6/2018,1,4/30/2018,0,,50,50
83eaf3f7-99c3-452a-85cd-6f851b17782f,1,3/12/2018,1,5/6/2018,0,,50,50
3de76c3d-453d-4cf0-ad43-a59e6804299e,1,3/15/2018,0,,0,,,
b2fef18f-0b20-42a5-a9ad-2632b78709db,1,3/14/2018,0,,0,,,
44e9702a-0e28-4f45-bd53-355e64e69554,1,5/5/2018,0,,0,,,
66080637-282c-4d94-9c2d-869f0f633e39,1,5/4/2018,0,,0,,,
e19587e5-49f6-4bae-b5b1-7a2a4676e96b,1,3/4/2018,1,4/2/2018,1,4/2/2018,25,
549251c6-d0b8-4da5-9f51-c719cc0a26de,1,3/20/2018,1,4/8/2018,0,,25,25
2cde8320-847f-49ec-bde5-0cf07c83f0b3,1,4/15/2018,0,,0,,,
d0c0d714-e89c-4648-b3df-0c1c8a8d176e,1,3/24/2018,0,,0,,,
fd8861c7-c51b-4b5e-88bb-d65c5ecd0f0d,1,4/18/2018,0,,0,,,
f5c0a115-e7b7-4489-9f06-cd4077590e67,1,3/15/2018,1,4/5/2018,0,,50,50
32f05560-7c03-44d8-8068-658546d7e0be,1,4/12/2018,0,,0,,,
7d38ef00-298d-4bb6-89a9-2df021d169aa,1,4/29/2018,0,,0,,,
d489957d-831d-431a-8d78-ab8ae8effc4c,1,2/15/2018,0,,0,,,
d75400de-9c82-48c7-ad3e-80a582de28ff,1,5/6/2018,0,,0,,,
66aab6a3-9300-489f-a3b2-9948e24472ed,1,3/25/2018,0,,0,,,
89532f35-c603-4e96-b3c6-f9c739d9ef4c,1,3/1/2018,1,3/19/2018,0,,50,50
db25d426-567f-481e-afd8-0c90df388bf0,1,3/21/2018,0,,0,,,
0e9f1f5e-d2eb-4e07-98ae-cd5773a918da,1,4/30/2018,0,,0,,,
87c1e299-b243-4ed6-8663-0f24c60e9edb,1,2/8/2018,1,3/1/2018,0,,25,25
4ae03277-ce27-4949-8e26-0cde5505cc90,1,4/22/2018,1,5/6/2018,0,,25,25
